player_id,player_name,team_code,pj_date
10035,이용규,10001,2023-04-01
13112,문성주,5002,2023-04-01
12549,김기연,5002,2023-04-01
14757,피렐라,1001,2023-04-01
14763,이용준,11001,2023-04-01
14765,김주원,11001,2023-04-01
14766,오태양,11001,2023-04-01
14771,안재석,6002,2023-04-01
14785,김휘집,10001,2023-04-01
14788,이의리,2002,2023-04-01
14798,이승현,1001,2023-04-01
12970,김민혁,6002,2023-04-01
12545,김주성,5002,2023-04-01
14846,송승기,5002,2023-04-01
12859,이병규,10001,2023-04-01
14869,김영현,12001,2023-04-01
10108,김강민,9002,2023-04-01
10126,김광현,9002,2023-04-01
10636,김성현,9002,2023-04-01
10784,서진용,9002,2023-04-01
10106,최정,9002,2023-04-01
10082,이재원,9002,2023-04-01
10815,한유섬,9002,2023-04-01
12922,박성한,9002,2023-04-01
13126,최민준,9002,2023-04-01
13195,최상민,9002,2023-04-01
11236,박민호,9002,2023-04-01
14581,오원석,9002,2023-04-01
14587,최지훈,9002,2023-04-01
14699,전의산,9002,2023-04-01
10249,오태곤,9002,2023-04-01
10182,최주환,9002,2023-04-01
14806,조형우,9002,2023-04-01
14888,추신수,9002,2023-04-01
11213,양석환,6002,2023-04-01
11094,함덕주,5002,2023-04-01
10217,이용찬,11001,2023-04-01
11318,엄상백,12001,2023-04-01
11376,송성문,10001,2023-04-01
10835,김준태,12001,2023-04-01
11397,오윤석,12001,2023-04-01
10855,서건창,5002,2023-04-01
12917,김석환,2002,2023-04-01
12585,김태연,7002,2023-04-01
13138,이원석,7002,2023-04-01
14196,윤산흠,7002,2023-04-01
13115,하준영,11001,2023-04-01
11299,문경찬,3001,2023-04-01
10804,박승욱,3001,2023-04-01
14220,서호철,11001,2023-04-01
10720,심창민,11001,2023-04-01
10261,손아섭,11001,2023-04-01
13082,오영수,11001,2023-04-01
10189,박건우,11001,2023-04-01
11190,박해민,5002,2023-04-01
11166,김진성,5002,2023-04-01
10203,노경은,9002,2023-04-01
14114,이학주,3001,2023-04-01
14996,소크라테스,2002,2023-04-01
15001,수아레즈,1001,2023-04-01
15003,플럿코,5002,2023-04-01
10470,박병호,12001,2023-04-01
11182,김준완,10001,2023-04-01
10659,고종욱,2002,2023-04-01
10124,고효준,9002,2023-04-01
15024,신헌민,9002,2023-04-01
15034,이재현,1001,2023-04-01
15045,이민석,3001,2023-04-01
15056,김도영,2002,2023-04-01
15057,최지민,2002,2023-04-01
15089,박영현,12001,2023-04-01
15099,이병헌,6002,2023-04-01
10459,김태군,1001,2023-04-01
14151,최경모,9002,2023-04-01
14117,이병헌,1001,2023-04-01
13164,공민규,1001,2023-04-01
15127,최지강,6002,2023-04-01
15141,유상빈,7002,2023-04-01
12589,김인환,7002,2023-04-01
11244,김태진,10001,2023-04-01
10707,김민식,9002,2023-04-01
13130,이채호,12001,2023-04-01
15143,벤자민,12001,2023-04-01
15144,알포드,12001,2023-04-01
14738,양찬열,6002,2023-04-01
15146,페냐,7002,2023-04-01
15152,렉스,3001,2023-04-01
14627,스트레일리,3001,2023-04-01
14176,김기훈,2002,2023-04-01
12894,이유찬,6002,2023-04-01
13167,김민,12001,2023-04-01
14124,변우혁,2002,2023-04-01
10812,한승혁,7002,2023-04-01
12567,주효상,2002,2023-04-01
11161,원종현,10001,2023-04-01
10427,김상수,3001,2023-04-01
12605,고봉재,6002,2023-04-01
10753,유강남,3001,2023-04-01
10557,오선진,7002,2023-04-01
10706,김대유,2002,2023-04-01
10320,김상수,12001,2023-04-01
10891,박세혁,11001,2023-04-01
11165,노진혁,3001,2023-04-01
10609,이태양,7002,2023-04-01
10165,양의지,6002,2023-04-01
11215,채은성,7002,2023-04-01
11336,김태훈,1001,2023-04-01
11329,안중열,11001,2023-04-01
14742,러셀,10001,2023-04-01
14571,안권수,3001,2023-04-01
13941,알칸타라,6002,2023-04-01
11284,조이현,12001,2023-04-01
10452,임창민,10001,2023-04-01
15253,김민석,3001,2023-04-01
11147,이상호,12001,2023-04-01
10119,이명기,7002,2023-04-01
15422,문현빈,7002,2023-04-01
15435,곽도규,2002,2023-04-01
15441,이진하,3001,2023-04-01
15444,이태연,3001,2023-04-01
15461,이로운,9002,2023-04-01
15462,송영진,9002,2023-04-01
15472,김건희,10001,2023-04-01
15473,김동헌,10001,2023-04-01
15476,이승원,10001,2023-04-01
15486,박명근,5002,2023-04-01
15496,이호성,1001,2023-04-01
15520,손민석,12001,2023-04-01
15523,류현인,12001,2023-04-01
15528,맥카티,9002,2023-04-01
15530,에레디아,9002,2023-04-01
15531,후라도,10001,2023-04-01
15532,오스틴,5002,2023-04-01
15533,앤더슨,2002,2023-04-01
15534,메디나,2002,2023-04-01
15535,페디,11001,2023-04-01
15537,마틴,11001,2023-04-01
15539,로하스,6002,2023-04-01
